           0           6          13   11.651999999999999                0           3           7  -13.359000000000000        25.010999999999999                9          -1 -0.14143819511339037       -4.4298119496145864E-002
           0           6          13   11.651999999999999                0           3           5  -8.4550000000000001        20.106999999999999                9          -1 -0.14143819511339037       0.10101525445522114     
           0           6          11   18.327000000000002                0           3           7  -13.359000000000000        31.686000000000000                9          -1 -0.14143819511339037        9.8058067569091953E-002
           1           6          13   18.849000000000000                0           3           7  -13.359000000000000        32.207999999999998                9          -1 -0.14143819511339037       -4.4298119496145864E-002
           1           6          13   18.849000000000000                0           3           5  -8.4550000000000001        27.304000000000002                9          -1 -0.14143819511339037       0.10101525445522114     
           0           7          15   19.305000000000000                0           2           5  -20.824999999999999        40.129999999999995                9          -1 -0.14930178053772650       -5.2704627669472891E-002
           0           7          15   19.305000000000000                0           2           3  -17.988000000000000        37.292999999999999                9          -1 -0.14930178053772650       0.11180339887498951     
           0           7          13   20.765000000000001                0           2           5  -20.824999999999999        41.590000000000003                9          -1 -0.14930178053772650       0.10540925533894599     
           1           7          15   22.353000000000002                0           2           5  -20.824999999999999        43.177999999999997                9          -1 -0.14930178053772650       -5.2704627669472891E-002
           1           7          15   22.353000000000002                0           2           3  -17.988000000000000        40.341000000000001                9          -1 -0.14930178053772650       0.11180339887498951     
           0           8          17   22.753000000000000                0           1           3  -27.597999999999999        50.350999999999999                9          -1 -0.16692446522234988       -7.3801240461674661E-002
           0           8          17   22.753000000000000                0           1           1  -26.338000000000001        49.091000000000001                9          -1 -0.16692446522234988       0.13608276348795445     
           0           8          17   22.753000000000000                0           3           7  -13.359000000000000        36.112000000000002                9          -1  0.10302801669797546       -6.2060781627743811E-002
           0           8          17   22.753000000000000                1           1           3  -8.5169999999999995        31.270000000000000                9          -1 -0.16692446522234988       -7.3801240461674661E-002
           0           8          17   22.753000000000000                0           3           5  -8.4550000000000001        31.207999999999998                9          -1  0.10302801669797546        6.8326671807565506E-002
           0           8          17   22.753000000000000                1           1           1  -6.6900000000000004        29.443000000000001                9          -1 -0.16692446522234988       0.13608276348795445     
           0           8          15   23.065000000000001                0           1           3  -27.597999999999999        50.662999999999997                9          -1 -0.16692446522234988       0.12126781251816630     
           0           8          15   23.065000000000001                0           3           7  -13.359000000000000        36.423999999999999                9          -1  0.10302801669797546        6.7790768068329912E-002
           0           8          15   23.065000000000001                1           1           3  -8.5169999999999995        31.582000000000001                9          -1 -0.16692446522234988       0.12126781251816630     
           0           8          15   23.065000000000001                0           3           5  -8.4550000000000001        31.520000000000003                9          -1  0.10302801669797546        6.0633906259083152E-002
           1           6          11   23.951000000000001                0           3           7  -13.359000000000000        37.310000000000002                9          -1 -0.14143819511339037        9.8058067569091953E-002
           1           8          17   29.716999999999999                0           1           3  -27.597999999999999        57.314999999999998                9          -1 -0.16692446522234988       -7.3801240461674661E-002
           1           8          17   29.716999999999999                0           1           1  -26.338000000000001        56.055000000000000                9          -1 -0.16692446522234988       0.13608276348795445     
           1           8          17   29.716999999999999                0           3           7  -13.359000000000000        43.076000000000001                9          -1  0.10302801669797546       -6.2060781627743811E-002
           1           8          17   29.716999999999999                1           1           3  -8.5169999999999995        38.233999999999995                9          -1 -0.16692446522234988       -7.3801240461674661E-002
           1           8          17   29.716999999999999                0           3           5  -8.4550000000000001        38.171999999999997                9          -1  0.10302801669797546        6.8326671807565506E-002
           1           8          17   29.716999999999999                1           1           1  -6.6900000000000004        36.406999999999996                9          -1 -0.16692446522234988       0.13608276348795445     
           2           6          13   29.800000000000001                0           3           7  -13.359000000000000        43.158999999999999                9          -1 -0.14143819511339037       -4.4298119496145864E-002
           2           6          13   29.800000000000001                0           3           5  -8.4550000000000001        38.255000000000003                9          -1 -0.14143819511339037       0.10101525445522114     
           1           7          13   31.512000000000000                0           2           5  -20.824999999999999        52.337000000000003                9          -1 -0.14930178053772650       0.10540925533894599     
           2           6          11   33.405999999999999                0           3           7  -13.359000000000000        46.765000000000001                9          -1 -0.14143819511339037        9.8058067569091953E-002
           2           7          15   34.406999999999996                0           2           5  -20.824999999999999        55.231999999999999                9          -1 -0.14930178053772650       -5.2704627669472891E-002
           2           7          15   34.406999999999996                0           2           3  -17.988000000000000        52.394999999999996                9          -1 -0.14930178053772650       0.11180339887498951     
           1           8          15   36.192000000000000                0           1           3  -27.597999999999999        63.789999999999999                9          -1 -0.16692446522234988       0.12126781251816630     
           1           8          15   36.192000000000000                0           3           7  -13.359000000000000        49.551000000000002                9          -1  0.10302801669797546        6.7790768068329912E-002
           1           8          15   36.192000000000000                1           1           3  -8.5169999999999995        44.709000000000003                9          -1 -0.16692446522234988       0.12126781251816630     
           1           8          15   36.192000000000000                0           3           5  -8.4550000000000001        44.646999999999998                9          -1  0.10302801669797546        6.0633906259083152E-002
           2           8          17   39.012000000000000                0           1           3  -27.597999999999999        66.609999999999999                9          -1 -0.16692446522234988       -7.3801240461674661E-002
           2           8          17   39.012000000000000                0           1           1  -26.338000000000001        65.349999999999994                9          -1 -0.16692446522234988       0.13608276348795445     
           2           8          17   39.012000000000000                0           3           7  -13.359000000000000        52.371000000000002                9          -1  0.10302801669797546       -6.2060781627743811E-002
           2           8          17   39.012000000000000                1           1           3  -8.5169999999999995        47.528999999999996                9          -1 -0.16692446522234988       -7.3801240461674661E-002
           2           8          17   39.012000000000000                0           3           5  -8.4550000000000001        47.466999999999999                9          -1  0.10302801669797546        6.8326671807565506E-002
           2           8          17   39.012000000000000                1           1           1  -6.6900000000000004        45.701999999999998                9          -1 -0.16692446522234988       0.13608276348795445     
