           0           8          17   22.753000000000000                0           3           7  -13.359000000000000        36.112000000000002               11          -1 -0.12595423515069640       -3.7424059428256044E-002
           0           8          17   22.753000000000000                0           3           5  -8.4550000000000001        31.207999999999998               11          -1 -0.12595423515069640        8.9087080637475155E-002
           0           8          15   23.065000000000001                0           3           7  -13.359000000000000        36.423999999999999               11          -1 -0.12595423515069640        8.5749292571254673E-002
           1           8          17   29.716999999999999                0           3           7  -13.359000000000000        43.076000000000001               11          -1 -0.12595423515069640       -3.7424059428256044E-002
           1           8          17   29.716999999999999                0           3           5  -8.4550000000000001        38.171999999999997               11          -1 -0.12595423515069640        8.9087080637475155E-002
           1           8          15   36.192000000000000                0           3           7  -13.359000000000000        49.551000000000002               11          -1 -0.12595423515069640        8.5749292571254673E-002
           2           8          17   39.012000000000000                0           3           7  -13.359000000000000        52.371000000000002               11          -1 -0.12595423515069640       -3.7424059428256044E-002
           2           8          17   39.012000000000000                0           3           5  -8.4550000000000001        47.466999999999999               11          -1 -0.12595423515069640        8.9087080637475155E-002
           2           8          15   48.203000000000003                0           3           7  -13.359000000000000        61.562000000000005               11          -1 -0.12595423515069640        8.5749292571254673E-002
           3           8          17   56.091999999999999                0           3           7  -13.359000000000000        69.450999999999993               11          -1 -0.12595423515069640       -3.7424059428256044E-002
           3           8          17   56.091999999999999                0           3           5  -8.4550000000000001        64.546999999999997               11          -1 -0.12595423515069640        8.9087080637475155E-002
